Model Name,Dep Thresh,AND Thresh,Loop Thresh,Perfect Fitting Traces (%),Average Trace Fitness,Precision,Generalization,Node Size,Arc Size,Cyclicity
heu_top100_dep_0.30_and_0.99_loop_0.90,0.3,0.99,0.9,28.85,0.9372595288140132,0.9279855499572203,0.9876515527593002,69,87,0.6666666666666666
heu_top100_dep_0.30_and_0.99_loop_0.95,0.3,0.99,0.95,28.85,0.9372595288140132,0.9279855499572203,0.9876515527593002,69,87,0.6666666666666666
heu_top100_dep_0.30_and_0.99_loop_0.99,0.3,0.99,0.99,28.85,0.9372595288140132,0.9279855499572203,0.9876515527593002,69,87,0.6666666666666666
heu_top100_dep_0.65_and_0.95_loop_0.30,0.65,0.95,0.3,28.85,0.9372595288140132,0.9279855499572203,0.9876515527593002,69,87,0.6666666666666666
heu_top100_dep_0.65_and_0.95_loop_0.65,0.65,0.95,0.65,28.85,0.9372595288140132,0.9279855499572203,0.9876515527593002,69,87,0.6666666666666666
heu_top100_dep_0.65_and_0.95_loop_0.90,0.65,0.95,0.9,28.85,0.9372595288140132,0.9279855499572203,0.9876515527593002,69,87,0.6666666666666666
heu_top100_dep_0.65_and_0.95_loop_0.95,0.65,0.95,0.95,28.85,0.9372595288140132,0.9279855499572203,0.9876515527593002,69,87,0.6666666666666666
heu_top100_dep_0.65_and_0.95_loop_0.99,0.65,0.95,0.99,28.85,0.9372595288140132,0.9279855499572203,0.9876515527593002,69,87,0.6666666666666666
heu_top100_dep_0.65_and_0.99_loop_0.30,0.65,0.99,0.3,28.85,0.9372595288140132,0.9279855499572203,0.9876515527593002,69,87,0.6666666666666666
heu_top100_dep_0.65_and_0.99_loop_0.65,0.65,0.99,0.65,28.85,0.9372595288140132,0.9279855499572203,0.9876515527593002,69,87,0.6666666666666666
heu_top100_dep_0.65_and_0.99_loop_0.90,0.65,0.99,0.9,28.85,0.9372595288140132,0.9279855499572203,0.9876515527593002,69,87,0.6666666666666666
heu_top100_dep_0.65_and_0.99_loop_0.95,0.65,0.99,0.95,28.85,0.9372595288140132,0.9279855499572203,0.9876515527593002,69,87,0.6666666666666666
heu_top100_dep_0.65_and_0.99_loop_0.99,0.65,0.99,0.99,28.85,0.9372595288140132,0.9279855499572203,0.9876515527593002,69,87,0.6666666666666666
heu_top100_dep_0.90_and_0.90_loop_0.30,0.9,0.9,0.3,12.33,0.9271270768679671,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353
heu_top100_dep_0.90_and_0.90_loop_0.65,0.9,0.9,0.65,12.33,0.9271270768679671,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353
heu_top100_dep_0.90_and_0.90_loop_0.90,0.9,0.9,0.9,12.33,0.9271270768679671,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353
heu_top100_dep_0.90_and_0.90_loop_0.95,0.9,0.9,0.95,12.33,0.9271270768679671,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353
heu_top100_dep_0.90_and_0.90_loop_0.99,0.9,0.9,0.99,12.33,0.9271270768679671,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353
heu_top100_dep_0.95_and_0.90_loop_0.30,0.95,0.9,0.3,12.33,0.9271270768679671,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353
heu_top100_dep_0.95_and_0.90_loop_0.65,0.95,0.9,0.65,12.33,0.9271270768679671,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353
heu_top100_dep_0.95_and_0.90_loop_0.90,0.95,0.9,0.9,12.33,0.9271270768679671,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353
heu_top100_dep_0.95_and_0.90_loop_0.95,0.95,0.9,0.95,12.33,0.9271270768679671,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353
heu_top100_dep_0.95_and_0.90_loop_0.99,0.95,0.9,0.99,12.33,0.9271270768679671,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353
heu_top100_dep_0.99_and_0.90_loop_0.30,0.99,0.9,0.3,12.33,0.9271270768679671,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353
heu_top100_dep_0.99_and_0.90_loop_0.65,0.99,0.9,0.65,12.33,0.9271270768679671,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353
heu_top100_dep_0.99_and_0.90_loop_0.90,0.99,0.9,0.9,12.33,0.9271270768679671,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353
heu_top100_dep_0.99_and_0.90_loop_0.95,0.99,0.9,0.95,12.33,0.9271270768679671,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353
heu_top100_dep_0.99_and_0.90_loop_0.99,0.99,0.9,0.99,12.33,0.9271270768679671,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353
